ANEXO I – ÁREAS DE TARIFAÇÃO DO STFC;;;;
ÁREA TARIFÁRIA 011: SAO PAULO (LATITUDE: 23º32’51” S LONGITUDE: 46º38’10”);;;;
SP;PEDRO DE TOLEDO;11458;;PTD
SP;PERUIBE;11463;;PUE
SP;PRAIA GRANDE;11502;;PGE
SP;SANTOS;11592;;STS
SP;SAO VICENTE;11577;;SVE
ÁREA TARIFÁRIA 138: REGISTRO (LATITUDE: 24º29’15” S LONGITUDE: 47º50’37”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;CAJATI;11962;;CAJT
SP;CANANEIA;11139;;CEY
SP;ELDORADO;11197;;ELD
SP;IGUAPE;11272;;IGP
SP;ILHA COMPRIDA;11957;;ILCA
SP;JACUPIRANGA;11313;;JCP
SP;JUQUIA;11328;;JUQ
SP;MIRACATU;11375;;MIU
SP;PARIQUERA-ACU;11447;;PQU
SP;REGISTRO;11521;;RGT
SP;SETE BARRAS;11600;;SEX
ÁREA TARIFÁRIA 142: BAURU (LATITUDE: 22º18’53” S LONGITUDE: 49º03’38”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;AGUDOS;11008;;AGS
SP;AREALVA;11043;;ALV
SP;AVAI;11053;;AVI
SP;BALBINOS;11061;;BAB
SP;BAURU;11074;;BRU
SP;BORACEIA;11111;;BOI
SP;BOREBI;11113;;BOB
SP;CABRALIA PAULISTA;11122;;CBP
SP;DUARTINA;11194;;DNA
SP;FERNAO;11219;;FERN
SP;GALIA;11231;;GAA
SP;GUARANTA;11248;;GNT
SP;IACANGA;11259;;IAG
SP;LENCOIS PAULISTA;11339;;LEP
SP;LUCIANOPOLIS;11346;;LUO
SP;MACATUBA;11352;;MAT
SP;PAULISTANIA;11452;;PAUI
SP;PEDERNEIRAS;11455;;PDR
SP;PIRAJUI;11477;;PJI
SP;PIRATININGA;11484;;PIA
SP;PONGAI;11491;;PAY
SP;PRESIDENTE ALVES;11504;;PSV
SP;REGINOPOLIS;11520;;RGP
SP;URU;11682;;URU
ÁREA TARIFÁRIA 143: OURINHOS (LATITUDE: 22º58’44” S LONGITUDE: 49º52’14”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;BERNARDINO DE CAMPOS;11078;;BNS
SP;CANITAR;11144;;CANR
SP;CHAVANTES;11164;;CHV
SP;ESPIRITO SANTO DO TURVO;11207;;ETU
SP;FARTURA;11215;;FTA
SP;IBIRAREMA;11263;;IAE
SP;IPAUSSU;11279;;IAC
SP;MANDURI;11360;;MDU
SP;OLEO;11419;;OLO
SP;OURINHOS;11428;;ORN
SP;PIRAJU;11476;;PIJ
SP;RIBEIRAO DO SUL;11526;;RBD
SP;SALTO GRANDE;11586;;STG
SP;SANTA CRUZ DO RIO PARDO;11618;;SCP
SP;SAO PEDRO DO TURVO;11571;;STR
SP;SARUTAIA;11594;;SIK
SP;TAGUAI;11646;;TAG
SP;TEJUPA;11662;;TEA
SP;TIMBURI;11667;;TIM
ÁREA TARIFÁRIA 144: MARILIA (LATITUDE: 22º12’50” S LONGITUDE: 49º56’45”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ALVARO DE CARVALHO;11017;;AVV
SP;ALVINLANDIA;11018;;AVD
SP;ARCO-IRIS;11994;;ARII
SP;BASTOS;11072;;BAS
SP;CAMPOS NOVOS PAULISTA;11138;;CVP
SP;GARCA;11232;;GAR
SP;HERCULANDIA;11258;;HED
SP;IACRI;11260;;IAK
SP;JULIO MESQUITA;11325;;JLQ
SP;LUPERCIO;11349;;LUP
SP;MARILIA;11365;;MIA
SP;OCAUCU;11418;;OUU
SP;ORIENTE;11423;;OIN
SP;OSCAR BRESSANE;11426;;OSE
SP;POMPEIA;11490;;PPA
SP;QUEIROZ;11512;;QOS
SP;QUINTANA;11514;;QNN
SP;TUPA;11673;;TUP
SP;UBIRAJARA;11678;;UIJ
SP;VERA CRUZ;11692;;VUZ
ÁREA TARIFÁRIA 145: LINS (LATITUDE: 21º40’43” S LONGITUDE: 49º44’33”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;CAFELANDIA;11127;;CFL
SP;GETULINA;11236;;GLA
SP;GUAICARA;11240;;GIC
SP;GUAIMBE;11241;;GBE
SP;LINS;11342;;LIS
SP;PROMISSAO;11509;;PMO
SP;SABINO;11579;;SIN
ÁREA TARIFÁRIA 146: JAU (LATITUDE: 22º17’47” S LONGITUDE: 48º33’28”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;BARIRI;11065;;BRR
SP;BARRA BONITA;11066;;BBN
SP;BOCAINA;11107;;BOC
SP;BROTAS;11118;;BRT
SP;DOIS CORREGOS;11190;;DGS
SP;IGARACU DO TIETE;11715;;IGT
SP;ITAJU;11289;;IJU
SP;ITAPUI;11298;;IPY
SP;JAU;11321;;JAU
SP;MINEIROS DO TIETE;11373;;MTT
SP;TORRINHA;11669;;TNH
ÁREA TARIFÁRIA 147: AVARE (LATITUDE: 23º05’55” S LONGITUDE: 48º55’33”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;AGUAS DE SANTA BARBARA;11928;;ABB
SP;ARANDU;11039;;ADX
SP;AVARE;11055;;AVR
SP;CERQUEIRA CESAR;11160;;CQR
SP;CORONEL MACEDO;11159;;CKM
SP;IARAS;11903;;IRS
SP;ITAI;11287;;ITY
SP;PARANAPANEMA;11443;;PPM
SP;TAQUARITUBA;11657;;TQB
ÁREA TARIFÁRIA 149: BOTUCATU (LATITUDE: 22º53’09” S LONGITUDE: 48º26’42”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ANHEMBI;11029;;AHM
SP;AREIOPOLIS;11045;;ARL
SP;BOFETE;11108;;BFE
SP;BOTUCATU;11114;;BTU
SP;CONCHAS;11168;;CNH
SP;ITATINGA;11304;;ITG
SP;PARDINHO;11446;;PDW
SP;PEREIRAS;11461;;PEY
SP;PRATANIA;11503;;PRTN
SP;SAO MANUEL;11567;;SML
ÁREA TARIFÁRIA 152: SOROCABA (LATITUDE: 23º30’06” S LONGITUDE: 47º27’29”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ALAMBARI;11010;;ALAM
SP;ANGATUBA;11028;;ANG
SP;ARACOIABA DA SERRA;11038;;ARD
SP;BOITUVA;11109;;BTV
SP;CAMPINA DO MONTE ALEGRE;11710;;CMAL
SP;CAPELA DO ALTO;11146;;CLT
SP;CERQUILHO;11161;;CQO
SP;CESARIO LANGE;11162;;CEG
SP;GUAREI;11253;;GEI
SP;IBIUNA;11266;;IBN
SP;IPERO;11280;;IEO
SP;ITAPETININGA;11292;;IGA
SP;JUMIRIM;11912;;JUMR
SP;LARANJAL PAULISTA;11335;;LJP
SP;PIEDADE;11465;;PDD
SP;PILAR DO SUL;11466;;PLL
SP;PORANGABA;11496;;PON
SP;PORTO FELIZ;11497;;PRF
SP;QUADRA;12280;;QUDR
SP;SALTO DE PIRAPORA;11585;;SPR
SP;SAO MIGUEL ARCANJO;11569;;SGJ
SP;SARAPUI;11593;;SRP
SP;SOROCABA;11609;;SOC
SP;TAPIRAI;11651;;TIA
SP;TATUI;11660;;TTI
SP;TIETE;11666;;TIE
SP;TORRE DE PEDRA;12276;;TEPD
SP;VOTORANTIM;11885;;VOM
ÁREA TARIFÁRIA 155: ITAPEVA (LATITUDE: 23º58’56” S LONGITUDE: 48º52’32”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;APIAI;11035;;AII
SP;BARAO DE ANTONINA;11115;;BNI
SP;BARRA DO CHAPEU;12272;;BCHP
SP;BARRA DO TURVO;11067;;BDV
SP;BOM SUCESSO DE ITARARE;12273;;BSSS
SP;BURI;11120;;BRI
SP;CAPAO BONITO;11145;;CPB
SP;GUAPIARA;11244;;GPA
SP;IPORANGA;11283;;IOK
SP;ITABERA;11286;;IER
SP;ITAOCA;12274;;IOCA
SP;ITAPEVA;11293;;IVA
SP;ITAPIRAPUA PAULISTA;12065;;ITPI
SP;ITAPORANGA;11297;;IRG
SP;ITARARE;11301;;ITR
SP;NOVA CAMPINA;12275;;NVCP
SP;RIBEIRA;11531;;RIR
SP;RIBEIRAO BRANCO;11525;;RIC
SP;RIBEIRAO GRANDE;11527;;RIGA
SP;RIVERSUL;11530;;RRL
SP;TAQUARIVAI;11658;;TAQV
ÁREA TARIFÁRIA 162: ARARAQUARA (LATITUDE: 21º47’40” S LONGITUDE: 48º10’32”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;AMERICO BRASILIENSE;11021;;ABS
SP;ARARAQUARA;11041;;ARQ
SP;BOA ESPERANCA DO SUL;11104;;BEP
SP;BORBOREMA;11112;;BBO
SP;CANDIDO RODRIGUES;11142;;CRG
SP;DOBRADA;11189;;DBD
SP;DOURADO;11192;;DUD
SP;FERNANDO PRESTES;11217;;FPS
SP;GAVIAO PEIXOTO;11711;;GAPE
